date,sales
2003-01-31,129753.6
2003-02-28,140836.19
2003-03-31,174504.9
2003-04-30,201609.55
2003-05-31,192673.11
2003-06-30,168082.56
2003-07-31,187731.88
2003-08-31,197809.3
2003-09-30,263973.36
2003-10-31,568290.97
2003-11-30,1029837.66
2003-12-31,261876.46
2004-01-31,316577.42
2004-02-29,311419.53
2004-03-31,205733.73
2004-04-30,206148.12
2004-05-31,273438.39
2004-06-30,286674.22
2004-07-31,327144.09
2004-08-31,461501.27
2004-09-30,320750.91
2004-10-31,552924.25
2004-11-30,1089048.01
2004-12-31,372802.66
2005-01-31,339543.42
2005-02-28,358186.18
2005-03-31,374262.76
2005-04-30,261633.29
2005-05-31,457861.06
